Distrito,Concelho,Freguesia,AreaCode,Party,Percentage,Votes
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,R.I.R.,0.35,18
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,PCTP/MRPP,0.19,10
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,ADN,0.17,9
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,MAS,0.14,7
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,VP,0.14,7
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,MPT,0.10,5
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,E,0.08,4
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,010209,JPP,0.04,2
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,PS,38.04,552
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,PPD/PSD,30.94,449
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,CH,9.30,135
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,CDS-PP,7.93,115
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,B.E.,4.41,64
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,IL,2.89,42
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,PAN,1.45,21
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,PCP-PEV,1.17,17
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,R.I.R.,0.83,12
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,L,0.62,9
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,PCTP/MRPP,0.28,4
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,MPT,0.14,2
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,ADN,0.07,1
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,JPP,0.07,1
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,MAS,0.07,1
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,VP,0.07,1
Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,010210,E,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,PPD/PSD,39.57,222
Aveiro,Anadia,Avelãs de Caminho,010304,PS,37.79,212
Aveiro,Anadia,Avelãs de Caminho,010304,CH,6.24,35
Aveiro,Anadia,Avelãs de Caminho,010304,IL,3.21,18
Aveiro,Anadia,Avelãs de Caminho,010304,CDS-PP,2.67,15
Aveiro,Anadia,Avelãs de Caminho,010304,B.E.,2.32,13
Aveiro,Anadia,Avelãs de Caminho,010304,PCP-PEV,1.60,9
Aveiro,Anadia,Avelãs de Caminho,010304,L,1.07,6
Aveiro,Anadia,Avelãs de Caminho,010304,PAN,1.07,6
Aveiro,Anadia,Avelãs de Caminho,010304,PCTP/MRPP,1.07,6
Aveiro,Anadia,Avelãs de Caminho,010304,R.I.R.,0.71,4
Aveiro,Anadia,Avelãs de Caminho,010304,ADN,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,E,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,JPP,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,MAS,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,MPT,0.00,0
Aveiro,Anadia,Avelãs de Caminho,010304,VP,0.00,0
Aveiro,Anadia,Avelãs de Cima,010305,PPD/PSD,54.50,533
Aveiro,Anadia,Avelãs de Cima,010305,PS,23.62,231
Aveiro,Anadia,Avelãs de Cima,010305,CH,6.34,62
Aveiro,Anadia,Avelãs de Cima,010305,B.E.,4.09,40
