nivel,distrito,concelho,freguesia,dicofre
3,Braga,Póvoa de Lanhoso,Serzedelo,30924
3,Braga,Póvoa de Lanhoso,Sobradelo da Goma,30925
3,Braga,Póvoa de Lanhoso,Taíde,30926
3,Braga,Póvoa de Lanhoso,Travassos,30927
3,Braga,Póvoa de Lanhoso,Vilela,30929
3,Braga,Póvoa de Lanhoso,União das freguesias de Águas Santas e Moure,30930
3,Braga,Póvoa de Lanhoso,União das freguesias de Calvos e Frades,30931
3,Braga,Póvoa de Lanhoso,União das freguesias de Campos e Louredo,30932
3,Braga,Póvoa de Lanhoso,União das freguesias de Esperança e Brunhais,30933
3,Braga,Póvoa de Lanhoso,União das freguesias de Fonte Arcada e Oliveira,30934
3,Braga,Póvoa de Lanhoso,"União das freguesias de Verim, Friande e Ajude",30935
3,Braga,Terras de Bouro,Balança,31001
3,Braga,Terras de Bouro,Campo do Gerês,31003
3,Braga,Terras de Bouro,Carvalheira,31004
3,Braga,Terras de Bouro,Covide,31008
3,Braga,Terras de Bouro,Gondoriz,31009
3,Braga,Terras de Bouro,Moimenta,31010
3,Braga,Terras de Bouro,Ribeira,31012
3,Braga,Terras de Bouro,Rio Caldo,31013
3,Braga,Terras de Bouro,Souto,31014
3,Braga,Terras de Bouro,Valdosende,31015
3,Braga,Terras de Bouro,Vilar da Veiga,31017
3,Braga,Terras de Bouro,União das freguesias de Chamoim e Vilar,31018
3,Braga,Terras de Bouro,União das freguesias de Chorense e Monte,31019
3,Braga,Terras de Bouro,União das freguesias de Cibões e Brufe,31020
3,Braga,Vieira do Minho,Cantelães,31105
3,Braga,Vieira do Minho,Eira Vedra,31107
3,Braga,Vieira do Minho,Guilhofrei,31108
3,Braga,Vieira do Minho,Louredo,31109
3,Braga,Vieira do Minho,Mosteiro,31110
